,p1dist
0,0.0
1,0.0
2,0.019765765765765768
3,0.03449829772562925
4,0.0608526520799836
5,0.10744100877437655
6,0.16373393435163378
7,0.21685283375033354
8,0.25852272676180155
9,0.2864757407784373
10,0.34276866635569453
11,0.39867469438896613
12,0.4545807224222376
13,0.5011690791166306
14,0.574831738915948
15,0.6541688515461891
16,0.7269421911008703
17,0.7997155306555516
18,0.8928922440443375
19,0.9553970835615395
20,1.0179019230787416
21,1.0416574170678348
22,1.0752527588480827
23,1.0990082528371758
24,1.0990082528371758
25,1.112185430014353
26,1.1253626071915301
27,1.1400951391513938
28,1.1598609049171595
29,1.1598609049171595
30,1.2015307979286276
31,1.2546496973273273
32,1.3012380540217203
33,1.307826642610309
34,1.3171443139491876
35,1.3303214911263648
36,1.343498668303542
37,1.367254162292635
38,1.3910096562817282
39,1.4204747202014552
40,1.441309666707189
41,1.4560421986670526
42,1.4746775413448097
43,1.493312884022567
44,1.511948226700324
45,1.5414132906200508
46,1.5507309619589296
47,1.5573195505475181
48,1.5720520825073816
49,1.5867846144672453
50,1.6054199571450023
51,1.614737628483881
52,1.6279148056610582
53,1.6345033942496467
54,1.6410919828382353
55,1.6476805714268241
56,1.6542691600154127
57,1.6608577486040013
58,1.6701754199428798
59,1.6767640085314683
60,1.6914965404913318
61,1.7008142118302105
62,1.707402800418799
63,1.7282377469245331
64,1.7348263355131217
65,1.7414149241017103
66,1.750732595440589
67,1.7573211840291776
68,1.7704983612063547
69,1.7798160325452335
70,1.7929932097224106
71,1.807725741682274
72,1.8314812356713672
73,1.8501165783491245
74,1.8687519210268817
75,1.8873872637046392
76,1.9021197956645024
77,1.9152969728416795
78,1.9350627386074455
79,1.9497952705673087
80,1.9695610363330744
81,1.984293568292938
82,1.9990261002528014
83,2.0137586322126646
84,2.023076303551543
85,2.029664892140132
86,2.044397424099995
87,2.059129956059859
88,2.1122488554585583
89,2.1800825267177943
90,2.24791619797703
91,2.2954271859552158
92,2.308604363132393
93,2.3217815403095705
94,2.3365140722694338
95,2.3365140722694338
96,2.343102660858022
97,2.3562798380351992
98,2.382634192389554
99,2.4162295341698017
100,2.4359952999355676
101,2.546440170276838
102,2.7174898786175548
103,2.7174898786175548
104,2.7174898786175548
105,2.7174898786175548
106,2.8725668361988874
107,2.997923283386354
108,3.038000103180571
109,3.0780769229747884
110,3.1181537427690054
111,3.1788975281723104
112,3.2124928699525586
113,3.2256700471297357
114,3.2465049936354697
115,3.267339940141204
116,3.2766576114800827
117,3.3038230581545727
118,3.3504114148489657
119,3.3701771806147316
120,3.3767657692033204
121,3.391498301163184
122,3.41126406692895
123,3.41126406692895
124,3.41126406692895
125,3.4178526555175384
126,3.4178526555175384
127,3.4178526555175384
128,3.4178526555175384
129,3.4178526555175384
130,3.4178526555175384
131,3.424441244106127
132,3.4310298326947155
133,3.445762364654579
134,3.4721167190089335
135,3.485293896186111
136,3.4918824847746994
137,3.498471073363288
138,3.551179782071997
139,3.6500086109008256
140,3.7424838585034514
141,3.834724098743692
142,3.894386305930099
143,3.9009748945186877
144,3.914152071695865
145,3.9207406602844532
146,3.927329248873042
147,3.962809884268997
148,3.982575650034763
149,4.003410596540497
150,4.003410596540497
151,4.023176362306263
152,4.063253182100479
153,4.0698417706890675
154,4.076430359277657
155,4.083018947866245
156,4.102784713632011
157,4.115961890809188
158,4.130694422769052
159,4.157048777123406
160,4.216710984309813
161,4.308242582246309
162,4.560766947203909
163,4.560766947203909
164,4.560766947203909
165,4.560766947203909
166,4.804900605138718
167,4.94497591993235
168,5.004638127118757
169,5.038233468899006
170,5.05906841540474
171,5.0722455925819165
172,5.0722455925819165
173,5.0722455925819165
174,5.0722455925819165
175,5.112322412376133
176,5.153992305387602
177,5.261246757002745
178,5.402094693844162
179,5.536476060965153
180,5.605262945291129
181,5.638205888234072
182,5.656841230911829
183,5.675476573589586
184,5.69020910554945
185,5.704941637509314
186,5.7646038446957215
187,5.830818340529773
188,5.89011563782707
189,5.930192457621287
190,5.951027404127021
191,5.9696627468047785
192,5.9976157608214145
193,6.027080824741141
194,6.060023767684084
195,6.083779261673177
196,6.096956438850354
197,6.111688970810218
198,6.118277559398806
199,6.1420330533879
200,6.179303738743414
201,6.200138685249148
202,6.218774027926905
203,6.228091699265784
204,6.234680287854372
205,6.234680287854372
206,6.2494128198142365
207,6.273168313803329
208,6.326287213202029
209,6.379406112600729
210,6.4360832946904925
211,6.50974595448981
212,6.556334311184203
213,6.571066843144067
214,6.615264439023657
215,6.656934332035126
216,6.666252003374004
217,6.701732638769959
218,6.725488132759053
219,6.740220664718916
220,6.76105561122465
221,6.779690953902408
222,6.7944234858622705
223,6.8141892516280365
224,6.827366428805214
225,6.880075137513923
226,6.945961023399808
227,7.01217551923386
228,7.058763875928253
229,7.085929322602744
230,7.100661854562606
231,7.120427620328372
232,7.135160152288235
233,7.141748740876824
234,7.148337329465412
235,7.157655000804291
236,7.157655000804291
237,7.164243589392879
238,7.1708321779814685
239,7.177420766570057
240,7.19215329852992
241,7.2068858304897825
242,7.213474419078372
243,7.22006300766696
244,7.233240184844137
245,7.233240184844137
246,7.239828773432726
247,7.2799055932269425
248,7.326025713347063
249,7.378734422055771
250,7.418811241849988
251,7.425399830438577
252,7.4319884190271654
253,7.438577007615754
254,7.445165596204342
255,7.454483267543221
256,7.467660444720399
257,7.474249033308987
258,7.480837621897575
259,7.50167256840331
260,7.516405100363173
261,7.522993688951762
262,7.53231136029064
263,7.547043892250503
264,7.56567923492826
265,7.625341442114667
266,7.724389647082084
267,7.83716811745554
268,7.920507903478476
269,7.962695454760541
270,7.996290796540789
271,8.011023328500652
272,8.024200505677829
273,8.064277325472046
274,8.104354145266264
275,8.137297088209205
276,8.183885444903598
277,8.230473801597993
278,8.278439450538178
279,8.317970982069708
280,8.383856867955595
281,8.436975767354294
282,8.4977195527576
283,8.54383967287772
284,8.583916492671937
285,8.598649024631799
286,8.632244366412047
287,8.669515051767561
288,8.706785737123077
289,8.736250801042804
290,8.76420381505944
291,8.770792403648029
292,8.780110074986908
293,8.786698663575496
294,8.793287252164085
295,8.793287252164085
296,8.799875840752673
297,8.809193512091552
298,8.823926044051415
299,8.842561386729173
300,8.88097912984416
301,8.928490117822346
302,8.970677669104411
303,8.991512615610146
304,9.00624514757001
305,9.012833736158598
306,9.019422324747186
307,9.019422324747186
308,9.019422324747186
309,9.072541224145885
310,9.165016471748512
311,9.357105187323445
312,9.578093166721397
313,9.789030923131723
314,9.901616774286238
315,9.975279434085556
316,10.004744498005284
317,10.094358991387162
318,10.191638336114345
319,10.29220877612728
320,10.35436539655891
321,10.369097928518773
322,10.429841713922077
323,10.490585499325382
324,10.538551148265567
325,10.572146490045814
326,10.585323667222992
327,10.606158613728727
328,10.612747202317315
329,10.619335790905904
330,10.628653462244783
