player1boxes,player2boxes,ballpositions,ballvelocities
"(766.0, 594.0, 902.0, 845.0)","(1097.9188231809323, 165.3773650208233, 1157.3269043581302, 254.1001282653095)","(None, None)",0.0
"(768.0, 595.0, 890.0, 846.0)","(1096.702767277083, 165.71517852590154, 1156.7821498214223, 253.4733116463654)","(None, None)",0.0
"(770.0, 599.0, 898.0, 846.0)","(1096.2170017614671, 166.47987346581488, 1155.5010284513191, 253.56287391842687)","(837.0, 486.0)",0.0
"(773.0, 609.0, 893.0, 845.0)","(1097.374961055344, 167.11270643094872, 1155.1996832045947, 253.7718454115378)","(834.0, 474.0)",742.1590126111789
"(775.0, 608.0, 887.0, 844.0)","(1097.5151582156752, 167.2283794518667, 1155.503892649808, 254.3047326054303)","(834.0, 471.0)",180.0
"(775.0, 608.0, 889.0, 845.0)","(1097.5847755980747, 167.16921241373205, 1154.9422315926965, 254.11478074686937)","(828.0, 465.0)",509.11688245431424
"(775.0, 617.0, 888.0, 846.0)","(1097.589078363755, 166.64116324176644, 1154.7829298341862, 253.8725675232376)","(828.0, 459.0)",360.0
"(775.0, 619.0, 890.0, 845.0)","(1097.0675417956406, 165.31075012828165, 1154.1941039588958, 253.7503099466582)","(828.0, 453.0)",360.0
"(775.0, 617.0, 894.0, 845.0)","(1096.647761346214, 164.42415441197886, 1153.33367488697, 253.49996346108435)","(828.0, 450.0)",180.0
"(781.0, 623.0, 899.0, 843.0)","(1097.110413593755, 164.59437963095888, 1153.6096998325713, 253.67434074490217)","(822.0, 447.0)",402.49223594996215
"(781.0, 623.0, 900.0, 842.0)","(1097.1573557558902, 163.7422175165901, 1153.8321687218734, 253.35346041667717)","(828.0, 444.0)",402.49223594996215
"(784.0, 627.0, 890.0, 843.0)","(1097.446203707761, 163.6324044494409, 1154.0097755614083, 253.97290873801757)","(822.0, 438.0)",509.11688245431424
"(784.0, 630.0, 890.0, 843.0)","(1097.4764931115699, 163.76826468290633, 1153.901053676472, 253.9925546691413)","(819.0, 438.0)",180.0
"(784.0, 624.0, 892.0, 844.0)","(1097.1297098741697, 164.06513955664008, 1152.8798174306853, 254.00501486980596)","(816.0, 435.0)",254.55844122715712
"(783.0, 612.0, 885.0, 843.0)","(1096.8329081078155, 164.19704448866534, 1151.6889943286455, 253.9843519447338)","(819.0, 432.0)",254.55844122715712
"(784.0, 610.0, 887.0, 845.0)","(1096.5235821308254, 164.3130771832491, 1149.7547729316004, 253.382214648373)","(813.0, 429.0)",402.49223594996215
"(783.0, 617.0, 881.0, 843.0)","(1096.180718528669, 164.57734355789694, 1147.9048112903463, 252.83323735096508)","(816.0, 429.0)",180.0
"(783.0, 616.0, 877.0, 842.0)","(1096.1332279579901, 165.09452758133634, 1146.678555805233, 252.90380963439483)","(813.0, 426.0)",254.55844122715712
"(783.0, 616.0, 875.0, 842.0)","(1095.8748513448465, 165.44858146930042, 1145.2020340327365, 252.95094263440333)","(813.0, 423.0)",180.0
"(782.0, 619.0, 873.0, 841.0)","(1095.8916626363152, 165.97446987998836, 1144.193462310178, 253.10118238566565)","(807.0, 426.0)",402.49223594996215
"(781.0, 617.0, 870.0, 841.0)","(1096.0746517324972, 166.47487506406537, 1143.4306777560785, 253.33510838356705)","(807.0, 417.0)",540.0
"(781.0, 618.0, 864.0, 842.0)","(1096.3741644443905, 166.84641563548072, 1143.0830302098282, 253.50061622786657)","(807.0, 423.0)",360.0
"(783.0, 624.0, 861.0, 843.0)","(1096.4758315682473, 167.14964955485206, 1142.5563273661035, 253.53788640804825)","(804.0, 420.0)",254.55844122715712
"(781.0, 625.0, 862.0, 841.0)","(1096.5127321919, 167.70989959994955, 1142.1703033397914, 253.80978159216352)","(807.0, 420.0)",180.0
"(781.0, 622.0, 865.0, 839.0)","(1096.3384712145523, 167.93564762700484, 1141.7359585503607, 253.79160170645602)","(801.0, 426.0)",509.11688245431424
"(781.0, 617.0, 866.0, 841.0)","(1096.1047347288336, 168.20549649392004, 1141.2370584073155, 253.76165234934118)","(804.0, 423.0)",254.55844122715712
